DELTA Energy Terms
Frame #,VDWAALS,EEL,EPB,ENPOLAR,EDISPER,DELTA G gas,DELTA G solv,DELTA TOTAL
255,-35.5107,-14.2721,22.8956,-2.6408,0.0,-49.7828,20.2548,-29.528
256,-37.1001,-13.1869,23.9854,-2.5223,0.0,-50.287,21.4631,-28.8239
257,-33.6042,-18.675,26.5789,-2.5309,0.0,-52.2792,24.048,-28.2312
258,-41.1269,-12.7311,26.9392,-2.6475,0.0,-53.858,24.2917,-29.5663
259,-38.2214,-14.1333,24.1154,-2.6225,0.0,-52.3547,21.4929,-30.8618
260,-36.0318,-16.6632,26.1984,-2.5004,0.0,-52.695,23.698,-28.997
261,-40.0672,-13.8638,26.9502,-2.557,0.0,-53.931,24.3932,-29.5378
262,-36.9205,-20.6123,26.7738,-2.3923,0.0,-57.5328,24.3815,-33.1513
263,-35.0742,-14.7519,25.4525,-2.6749,0.0,-49.8261,22.7776,-27.0485
264,-36.0131,-13.7752,25.372,-2.5881,0.0,-49.7883,22.7839,-27.0044
265,-40.4992,-15.7734,28.6049,-2.5901,0.0,-56.2726,26.0148,-30.2578
266,-39.0895,-16.1332,27.8047,-2.5125,0.0,-55.2227,25.2922,-29.9305
267,-37.3514,-18.3901,29.0288,-2.5639,0.0,-55.7415,26.4649,-29.2766
268,-36.4835,-14.3859,27.6521,-2.6641,0.0,-50.8694,24.988,-25.8814
269,-41.6142,-12.9538,26.3949,-2.5822,0.0,-54.568,23.8127,-30.7553
270,-39.1612,-14.1528,26.5453,-2.566,0.0,-53.314,23.9793,-29.3347
271,-38.7458,-17.0887,28.8937,-2.6541,0.0,-55.8345,26.2396,-29.5949
272,-36.2869,-15.8938,26.7398,-2.5429,0.0,-52.1807,24.1969,-27.9838
273,-40.5954,-15.4557,30.2336,-2.6218,0.0,-56.0511,27.6118,-28.4393
274,-36.7132,-14.9445,27.3438,-2.5539,0.0,-51.6577,24.7899,-26.8678
275,-38.4587,-14.2487,26.6269,-2.5257,0.0,-52.7074,24.1012,-28.6062
276,-39.1139,-14.9676,27.1881,-2.5492,0.0,-54.0815,24.6389,-29.4426
277,-40.6212,-12.8495,27.0717,-2.3206,0.0,-53.4707,24.7511,-28.7196
278,-37.5529,-18.7037,26.8521,-2.5354,0.0,-56.2566,24.3167,-31.9399
279,-39.1417,-14.7761,25.5523,-2.4265,0.0,-53.9178,23.1258,-30.792
280,-35.0265,-15.8576,25.8804,-2.6103,0.0,-50.8841,23.2701,-27.614
281,-38.8902,-15.0674,26.7752,-2.5777,0.0,-53.9576,24.1975,-29.7601
282,-36.7936,-11.2119,24.7542,-2.5549,0.0,-48.0055,22.1993,-25.8062
283,-37.4471,-15.8982,25.9615,-2.5157,0.0,-53.3453,23.4458,-29.8995
